,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12209,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19874775.0,19874775.0,False,,1,,,,2025-06-05T19:29:00.000Z,102165.41114216777,47428217740.98479,6.9673,-1.03057126,-2.65743026,-3.5704451,7.40378544,28.58113522,15.7210686,2030514559233.0774,63.4618,2145473633985.52,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
1,1027,Ethereum,ETH,ethereum,10330,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120722573.15484652,120722573.15484652,True,,2,,,,2025-06-05T19:29:00.000Z,2537.691941129549,19034242778.52968,7.5946,-1.51038698,-3.32959656,-4.00260713,41.82541621,56.66755303,16.0877102,306356701007.47644,9.5749,306356701007.48,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
2,825,Tether USDt,USDT,tether,131780,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,153833369631.929,156004039777.66104,True,,3,,,,2025-06-05T19:28:00.000Z,1.0001683362781435,74459717780.30716,9.7804,0.00567817,-0.02211841,0.03411627,0.01904079,0.07550077,0.04038599,153859265368.8271,4.8087,156030300917.09,,2025-06-05T19:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-05 12:30:30.480507
3,52,XRP,XRP,xrp,1623,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58759724027.0,99986084900.0,False,,4,,,,2025-06-05T19:29:00.000Z,2.133221861369467,2355736585.6114435,12.2186,-1.65759018,-4.01186508,-5.63854556,-0.35887225,7.0470376,-14.46804464,125347527862.43314,3.9176,213322186136.95,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
4,1839,BNB,BNB,bnb,2564,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887238.88,140887238.88,False,,5,,,,2025-06-05T19:29:00.000Z,644.9334293224358,1763832995.7583935,12.8572,-1.27953376,-3.50862447,-4.3940906,7.22330235,16.15291462,7.11639369,90862890118.64761,2.8398,90862890118.65,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
5,5426,Solana,SOL,solana,933,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,524097780.2005437,602413255.3500243,True,,6,,,,2025-06-05T19:28:00.000Z,146.26439477363223,3897428546.4597554,35.1494,-2.28526522,-6.10283204,-12.28874441,0.93090204,36.14599048,-1.11646997,76656844623.23666,2.3958,88111610197.38,,2025-06-05T19:28:00.000Z,,,,,,2025-06-05 12:30:30.480507
6,3408,USDC,USDC,usd-coin,28476,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61365035366.56208,61365035366.56208,False,,7,60901219650.231,60893651087.25606,,2025-06-05T19:28:00.000Z,0.9998757239507121,10233787494.52089,15.8137,0.00894768,0.01260489,0.02504517,-0.00523474,-0.00759497,-0.00163667,61357409162.40231,1.9177,61357409162.4,,2025-06-05T19:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-05 12:30:30.480507
7,74,Dogecoin,DOGE,dogecoin,1234,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149563106383.70526,149563106383.70526,True,,8,,,,2025-06-05T19:29:00.000Z,0.17478628509470504,1275787118.6419103,61.7433,-2.82509289,-8.12662652,-19.11684628,3.37579471,15.1048182,-15.26998999,26141579752.032005,0.817,26141579752.03,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
8,1958,TRON,TRX,tron,1183,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94854795807.78987,94854812957.65843,True,,9,,,,2025-06-05T19:29:00.000Z,0.271719853625982,534865076.9017985,13.9252,-0.65933529,-0.68552027,-1.39846884,10.68424767,16.42079034,10.58487384,25773931232.615074,0.8055,25773935892.57,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:30:30.480507
9,2010,Cardano,ADA,cardano,1528,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35342129025.24856,44994593606.78086,False,,10,,,,2025-06-05T19:28:00.000Z,0.6464951318404338,690465663.6697649,33.854,-2.28661396,-4.07184389,-10.84691493,-2.60183329,9.83088165,-24.62536559,22848514363.699688,0.7141,29092280932.82,,2025-06-05T19:28:00.000Z,,,,,,2025-06-05 12:30:30.480507
